year,name,host
2018,2018 FIFA World Cup Russia,Russia
2014,2014 FIFA World Cup Brazil,Brazil
2010,2010 FIFA World Cup South Africa,South Africa
2006,2006 FIFA World Cup Germany,Germany
2002,2002 FIFA World Cup Korea,Korea
1998,1998 FIFA World Cup France,France
1994,1994 FIFA World Cup USA,USA
1990,1990 FIFA World Cup Italy,Italy
1986,1986 FIFA World Cup Mexico,Mexico
1982,1982 FIFA World Cup Spain,Spain
1978,1978 FIFA World Cup Argentina,Argentina
1974,1974 FIFA World Cup Germany,Germany FR
1970,1970 FIFA World Cup Mexico,Mexico
1966,1966 FIFA World Cup England,England
1962,1962 FIFA World Cup Chile,Chile
1958,1958 FIFA World Cup Sweden,Sweden
1954,1954 FIFA World Cup Switzerland,Switzerland
1950,1950 FIFA World Cup Brazil,Brazil
1938,1938 FIFA World Cup France,France
1934,1934 FIFA World Cup Italy,Italy
1930,1930 FIFA World Cup Uruguay,Uruguay
